Word,Frequency,PMI,R_Entropy,L_Entropy
方,7140,80,5.895693098264287,6.1500951147127525
一,7014,80,5.227931177007573,6.711456402492522
三,6830,80,4.823276996887001,5.789054646790532
不,5880,80,6.561207426238054,8.098886136719948
二,5673,80,4.094201520132439,5.621140745677703
之,5515,80,7.611069136526855,7.402422436852746
两,5325,80,5.497174923149441,3.4634586185788674
十,4939,80,4.629291029781189,4.381998296040338
上,4782,80,5.765643665579515,6.964534551628399
服,4356,80,5.140458965596149,5.572532074289687
以,4346,80,6.715286996068224,7.17861423099122
治,4104,80,7.031700875809772,5.40992261247622
升,3924,80,4.357031253349619,2.9602514677267617
五,3836,80,5.165652114084291,6.304630138282513
中,3676,80,7.656687038434566,7.059206912248775
下,3644,80,6.88569371069792,6.844125781286776
者,3523,80,6.551188067597735,8.237129698881073
各,3470,80,3.1287939724336455,6.494364698083353
大,3413,80,6.256848264847833,6.953377771451047
黄,3096,80,5.400547966911458,4.48315767848736
日,3067,80,5.278018700037576,4.951166717893492
人,2792,80,6.462557655860428,5.587776981814309
四,2772,80,4.624268547482519,5.585882220608992
味,2759,80,4.042916110405889,3.4041338048667056
子,2600,80,5.6223253665785204,5.162005409604657
气,2584,80,7.2397170590922055,6.743041791880326
水,2572,80,5.509157231682719,4.284086324363747
取,2533,80,5.427237768854226,3.8621223515028067
为,2522,80,6.3260817642169105,7.1478483276941525
目,2430,80,2.127390761284011,5.916465189478036
心,2380,80,5.784522928657641,5.113638292116755
病,2211,80,6.7172979742063,7.0660078184645005
如,2201,80,7.051624458122521,6.700633981803134
小,2165,80,4.674654983674103,5.891491864409776
第,2038,80,3.2502307887198505,6.232991579645312
又,2038,80,2.571520811583733,5.195350054554741
风,1967,80,6.295273208747709,5.524592148720731
热,1949,80,7.026615776863792,6.497418033324421
分,1944,80,3.637397551012979,4.1558830773715165
白,1937,80,5.661826064167021,6.281259877284596
痛,1934,80,6.1071166232420575,6.175773114504364
丸,1818,80,3.4083085185016264,5.308788751032727
有,1772,80,7.606894749750364,7.241798878080903
七,1712,80,4.6521199658301695,5.257828364700969
煮,1701,80,3.1928889135422,4.294405165747779
生,1651,80,5.595628507532052,7.091620414221752
六,1637,80,4.546217657409127,5.217569576713534
食,1628,80,6.663933461019269,6.196820107286921
寒,1594,80,5.5704360949164275,5.386863528020451
半,1569,80,3.64778600951959,5.0196296096501865
药,1565,80,6.751921752048654,5.397261363595561
主,1555,80,6.804983428905464,6.704907788392378
则,1535,80,7.477253307699194,6.886782535098015
也,1523,80,3.773557262275185,7.599195915527431
石,1496,80,5.2333601836012775,5.151431573201352
脉,1482,80,6.693252150587161,6.267615688505163
令,1473,80,6.4976120715228705,6.662693187642942
其,1471,80,7.06916595385164,7.122170184084871
八,1462,80,4.03634181223658,4.307956713283157
酒,1457,80,4.434944357731556,5.636944852013359
而,1454,80,7.405339070402636,7.864176640696918
汤,1421,80,5.880317563479401,7.128351972350486
合,1386,80,6.108090752967797,5.003210015594007
去,1384,80,4.889013950955582,6.646323867721957
得,1367,80,6.986615619175599,5.044874563767997
寸,1347,80,3.1070346224204752,3.030102532416772
干,1336,80,3.745265001536084,5.686198904650118
灸,1309,80,6.257668797658866,4.975168293172918
出,1269,80,6.643953853691853,6.204200283003321
后,1268,80,7.264698256492272,5.6915846473122205
腹,1259,80,4.693535369669178,5.070623313220263
当,1221,80,4.955078867030237,6.916959367738941
无,1184,80,6.804789917214795,7.125492935701652
阴,1182,80,6.214821338837618,5.947631429360688
在,1175,80,6.785826805575089,5.871376410935644
可,1151,80,6.769093254549493,3.6345495972880233
虚,1102,80,5.087282495119959,6.060366949712925
末,1094,80,4.676548609494649,3.367493616908992
头,1082,80,6.210212642547313,6.5681893055344
发,1054,80,5.952050291712776,6.921006269804156
即,1051,80,6.70448934961182,7.128897507649525
和,1050,80,6.076498179309232,5.597068125839322
若,1015,80,7.3368193207120305,6.052742680979687
此,1003,80,6.27720366803109,5.3462861936599735
阳,996,80,5.921237411750485,5.0688751761389135
少,993,80,5.186564511173212,6.200085322037398
饮,984,80,4.81187164370601,6.503624072443985
伤,975,80,4.191745471837668,6.075160287595616
用,970,80,7.220642780268922,6.189736050876442
汁,964,80,5.682919961956674,5.766966572105295
血,953,80,6.0259706267091255,5.87098465586308
皮,946,80,5.768536661190779,5.224697868298658
枚,946,80,4.987520553541019,2.7841842722766295
于,931,80,7.405188402669244,6.828831991889357
毒,931,80,5.142927960276423,5.157475826827365
作,927,80,7.857220059529222,6.246554806355941
九,884,80,4.229468466607612,3.965038650548811
冷,881,80,6.4752854098071015,6.538275334003227
足,878,80,5.751304170657467,4.310921024315307
死,876,80,4.975921215487915,5.6647059395207995
至,871,80,6.1498500600787365,5.591358033223316
